SnapshotDate,Platform,AccountID,AccountLabel,IsRealMoney,Balance,Equity,AccountPL,InitialBalance,StartingEquity,MaxDailyDrawdown,TodayDrawdown,MaxDrawdownAmount,MaxDrawdownPct,CurrentValueAmount,CurrentValuePct,ProfitTarget,PosID,Symbol,Direction,Size,SizeUnit,Opening,Latest,StopLoss,TakeProfit,PositionPL
08-20-2026,tastyfx,DTEN3,Standard,,5367.90,,-485.21,,,,,,,,,,n/a,USD/CAD,Buy,0.27,lot,1.38699,1.37719,none,none,-192.12
08-20-2026,tastyfx,DTEN3,Standard,,5367.90,,-485.21,,,,,,,,,,n/a,GBP/CAD,Buy,0.27,lot,1.87808,1.87885,none,none,15.10
08-20-2026,tastyfx,DTEN3,Standard,,5367.90,,-485.21,,,,,,,,,,n/a,AUD/CAD,Buy,0.08,lot,0.98213,0.98236,none,none,1.34
08-20-2026,tastyfx,DTEN3,Standard,,5367.90,,-485.21,,,,,,,,,,n/a,EUR/GBP,Sell,0.16,lot,0.8574,0.8569,none,none,10.92
08-20-2026,tastyfx,DTEN3,Standard,,5367.90,,-485.21,,,,,,,,,,n/a,EUR/AUD,Sell,0.23,lot,1.63498,1.63891,none,none,-64.48
08-20-2026,tastyfx,DTEN3,Standard,,5367.90,,-485.21,,,,,,,,,,n/a,NZD/USD,Sell,0.27,lot,0.58738,0.59686,none,none,-255.96
08-20-2026,RebelsFunding,RF-325-46378,Silver,No,39995.91,39675.73,-320.18,40000,,1971.95,0,4000,10,328.63,0.82,2000,#126723217,GBP/CAD,Sell,3.00,lot,1.87779,1.87926,none,1.86856,-324.27
08-20-2026,RebelsFunding,22026429775880,Silver,No,39998.24,42785.24,2787.00,40000,,2102.96,0,4000,10,0,0,3200,#126160467,NZD/USD,Buy,3.00,lot,0.58746,0.59674,none,0.59824,2782.24
08-20-2026,RebelsFunding,22026429632526,Silver,No,39997.00,42090.21,2093.21,40000,,2086,0,4000,10,0,0,3200,#126021771,USD/CAD,Sell,3.00,lot,1.38692,1.37731,none,1.37224,2090.21
08-20-2026,RebelsFunding,22026429113565,Silver,No,39996.54,40752.00,755.46,40000,,2069.29,635.9,4000,10,0,0,3200,#125330691,EUR/AUD,Buy,3.00,lot,1.63517,1.63869,none,1.65025,749.86
08-20-2026,RebelsFunding,RF-054-45234,Copper,No,41205.99,41090.54,-115.45,40000,,2067.7,263.4,4000,10,0,0,2000,#126667537,AUD/CAD,Sell,3.00,lot,0.98193,0.98246,none,0.97823,-117.58
08-20-2026,RebelsFunding,22026427572022,Silver,No,9974.04,9903.09,-70.95,10000,,494.88,0,1000,10,96.91,0.97,800,#123991567,EUR/GBP,Buy,0.80,lot,0.85739,0.85674,none,0.86485,-71.87
08-20-2026,RebelsFunding,RF-205-43891,Copper,No,9122.27,9124.03,1.76,10000,,456.26,1.23,1000,10,875.95,8.76,500,#125810327,NZD/CHF,Sell,0.01,lot,0.47854,0.47713,none,none,1.75
08-20-2026,RebelsFunding,42026425387055,Copper,No,9268.76,9289.93,21.17,10000,,464.44,0,1000,10,710.04,7.1,500,#126355249,GBP/CHF,Sell,0.02,lot,1.09862,1.09088,none,none,19.33
08-20-2026,RebelsFunding,42026425387055,Copper,No,9268.76,9289.93,21.17,10000,,464.44,0,1000,10,710.04,7.1,500,#125810295,NZD/CHF,Sell,0.01,lot,0.47855,0.47710,none,none,1.80
08-20-2026,RebelsFunding,RCF-407-42579,Bronze,No,9334.22,9337.26,3.04,10000,,466.82,0,1000,10,662.73,6.63,5000,#124193515,EUR/CHF,Sell,0.01,lot,0.93708,0.93465,none,none,3.03
08-20-2026,FTMO,n/a,FTMO Challenge,No,,,,,,,,,,,,,n/a,n/a,n/a,n/a,n/a,n/a,n/a,none,none,
08-14-2026,AlphaCapital,5103701,Leverage 1:100,No,9585.71,9585.71,,,,,,,,,,,n/a,n/a,n/a,n/a,n/a,n/a,n/a,none,none,
